"","entidad","munici","ds2","ds3","ds5a","ds6","ds7","ds8","ds10","ds16","ds21","tb02","dm1b","dm1d","di1a","di1b","di1c","di1d","di1e","di1f","di1h","al1","di1g","ds9","ds14","ds22","ds23","tb06","dm4b","dm4d","di4a","di4b","di4c","di4d","di4e","di4f","di4h","al3"
"1",0,0,0,0.6,0,1,1,0.5,0,0.428571428571429,1,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,1,1,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"3",0,0,0,0.4,1,0,0,0.5,0,0.428571428571429,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,1,0.181818181818182,0.333333333333333,1,1,1,1,1,1,1,1,1,1,0.285714285714286
"6",0,0,1,1,1,0.8,0,0.5,1,0.785714285714286,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0,0,0.454545454545455,0.333333333333333,1,1,1,1,1,1,1,1,1,1,1
"8",0,0,1,0.6,1,0,0,0.5,1,0.785714285714286,0,0.25,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,0,0.272727272727273,0.333333333333333,1,1,1,1,1,1,1,1,1,1,0.285714285714286
"12",0,0,0,0.4,1,1,0,0.5,0,0.357142857142857,0,0.125,0,0.125,0,0,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,0,0.333333333333333,0.142857142857143,1,1,1,0.142857142857143,1,1,1,1,1,0.142857142857143
"20",0,0,0,0.8,1,0.6,0,0.5,1,0.857142857142857,1,0.25,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,0.692307692307692,1,1,1,1,1,0.285714285714286,1,1,1,1,1,1,0.285714285714286
"23",0,0,1,0.6,1,1,0,0.5,0,1,1,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0408163265306122,1,1,1,1,1,1,1,1,1,1,1,1,1,0.285714285714286
"24",0,0,0,1,1,0,0,0.5,0,0.642857142857143,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,1,0.0909090909090909,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"25",0,0,1,0.8,1,0,0,0.5,1,0.785714285714286,0,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0102040816326531,0,0,0,1,1,1,1,1,1,1,1,1,1,0.142857142857143
"26",0,0,1,0.8,1,0.6,0,0.5,0,0,0,0.25,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0816326530612245,1,0.0909090909090909,0,1,1,1,0.714285714285714,1,1,1,1,1,1,0.285714285714286
"28",0,0,1,0.8,1,0.8,1,0.5,1,0.857142857142857,0,0.125,0,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0816326530612245,0.153846153846154,0.0909090909090909,0.333333333333333,0.142857142857143,1,1,0.285714285714286,1,1,1,1,1,1,0.142857142857143
"30",0,0,1,0.6,1,0,0,0.5,0,0.428571428571429,0,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,0.125,0.0510204081632653,1,0.272727272727273,0.333333333333333,1,1,1,1,1,1,1,1,1,1,1
"34",0,0,1,1,0,0.2,0,0.5,0,0.428571428571429,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,0.125,0,1,0,0.333333333333333,0.285714285714286,1,1,1,1,1,1,1,1,1,1
"41",0,0,1,0.2,0,1,0,0.5,0,0.428571428571429,0,0.25,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,0.181818181818182,0.333333333333333,1,1,1,1,1,1,1,1,1,1,0.142857142857143
"43",0,0,0,0.8,1,0,0,0.5,0,1,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,1,0.181818181818182,1,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"48",0,0,1,0.4,0,1,0,0.5,0,0.0714285714285714,1,0.25,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,1,1,1,1,1,1,0.285714285714286,1,1,1,1,1,1,0.142857142857143
"52",0,0,0,0.4,0,0,0,0.5,0,0.285714285714286,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,0.363636363636364,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"54",0,0,0,0.8,1,0,0,0.5,0,0.357142857142857,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0408163265306122,1,0.272727272727273,0.333333333333333,0.285714285714286,1,1,1,1,1,1,1,1,1,0.285714285714286
"56",0,0,0,0.8,1,1,0,0.5,1,0.785714285714286,1,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,0,1,1,0.142857142857143,1,0.428571428571429,1,1,1,1,1,1,1,0.142857142857143
"57",0,0,1,1,1,0,0,0.5,1,0.785714285714286,0,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,0,0.0909090909090909,0.333333333333333,1,1,1,1,1,1,1,1,1,1,0.142857142857143
"58",0,0,0,0.6,0,0.4,0.6,0.5,0,0.357142857142857,0,0.25,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,0.181818181818182,0.333333333333333,1,1,1,0.142857142857143,1,1,1,1,1,1,0
"60",0,0,0,0.6,1,0.4,1,0.5,0,0.214285714285714,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,1,0,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"62",0,0,1,0,0,1,0,1,1,0.714285714285714,1,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0204081632653061,0.0769230769230769,1,1,0.142857142857143,1,1,0.142857142857143,1,1,1,1,1,1,0.142857142857143
"64",0,0,1,0,1,0.2,0,0.5,1,0.785714285714286,0,0.25,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0408163265306122,0,0.0909090909090909,0.333333333333333,1,1,1,0.142857142857143,1,1,1,1,1,1,0.142857142857143
"67",0,0,0,0.6,1,0,0.6,0.5,0,1,0,0.25,0.125,0.125,0,0,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,1,0.272727272727273,0.333333333333333,1,1,1,0.142857142857143,0.142857142857143,1,1,1,1,1,0.142857142857143
"70",0,0,0,0.6,1,1,0,0.5,0,0.285714285714286,1,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0612244897959184,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"74",0,0,1,1,1,0.8,0,0.5,1,0.785714285714286,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0,0,0,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.428571428571429
"75",0,0,1,0.4,1,1,0.6,0.5,0,0.428571428571429,0,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,0.363636363636364,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"77",0,0,0,0.2,1,1,0,0.5,0,0.357142857142857,1,0.25,0.125,0.125,0,0.125,0.125,0,0.125,0.125,0.125,0,0.125,0.0510204081632653,1,1,1,1,1,1,0.142857142857143,1,1,0.142857142857143,1,1,1,0.142857142857143
"80",0,0,1,0.2,0,1,0,0.5,1,0.928571428571429,1,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,0.230769230769231,1,1,1,0.142857142857143,1,1,1,1,1,1,1,1,0.142857142857143
"84",0,0,0,0,1,1,0,0.5,0,0.642857142857143,1,0.125,0,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,1,0.125,0.0204081632653061,1,1,1,1,0.142857142857143,1,1,1,1,1,1,1,1,1
"85",0,0,0,0.6,1,0,0,0.5,0,1,0,0,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,1,0.181818181818182,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"87",0,0,0,0,1,1,0,1,1,0.714285714285714,1,0.125,0.125,0.125,0,0,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,0.0769230769230769,1,1,0.142857142857143,1,1,0.142857142857143,0.142857142857143,1,1,1,1,1,0.142857142857143
"97",0,0,0,0.8,1,0,0,0.5,0,0.285714285714286,0,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0612244897959184,1,0,0.333333333333333,1,1,1,1,1,1,1,1,1,1,0.142857142857143
"98",0,0,0,0.2,1,0,0,0.5,0,0.428571428571429,0,0,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0,1,0.181818181818182,0.333333333333333,0.142857142857143,1,1,0.285714285714286,1,1,1,1,1,1,0.142857142857143
"102",0,0,1,1,1,0.8,0,0.5,1,0.785714285714286,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,0.125,0.0306122448979592,1,0.0909090909090909,0.333333333333333,0.285714285714286,1,1,1,1,1,1,1,1,1,1
"109",0,0,0,0.4,1,0,0,0.5,0,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,1,0.0909090909090909,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,1
"111",0,0,1,0.8,1,0,0,0.5,1,0.785714285714286,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,0.125,0.0102040816326531,0,0,0.333333333333333,0.285714285714286,1,1,1,1,1,1,1,1,1,1
"112",0,0,0,0.6,1,0,0,1,0,0.285714285714286,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,1,0.0909090909090909,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"118",0,0,1,0.8,1,0.4,0,0.5,0,0.428571428571429,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0204081632653061,1,0,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"121",0,0,1,0.4,1,1,0,0.5,0,0.285714285714286,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,0.125,0.0714285714285714,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"123",0,0,1,0.4,1,1,0,0.5,0,0.428571428571429,0,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,0,0.333333333333333,1,1,1,1,1,1,1,1,1,1,0.142857142857143
"125",0,0,1,0.4,1,0,0,0.5,1,0.785714285714286,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,0,0.272727272727273,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"126",0,0,1,1,1,1,0,0.5,0,0.785714285714286,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,0.125,0.0204081632653061,0,1,1,0.142857142857143,1,1,1,1,1,1,1,1,1,1
"127",0,0,0,0,1,1,0,0.5,0,0.214285714285714,1,0,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,0.923076923076923,1,1,0.142857142857143,1,1,0.142857142857143,1,1,1,1,1,1,0.142857142857143
"128",0,0,1,0.2,1,0,0,0.5,1,0.785714285714286,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,0,0.0909090909090909,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"129",0,0,0,0.8,1,0.4,0,0.5,0,1,1,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,1,1,1,1,1,1,1,1,1,1,1,1,0.142857142857143
"130",0,0,1,0.6,1,0.4,0,0.5,0,0.285714285714286,0,0.125,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0816326530612245,1,0.181818181818182,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"134",0,0,0,0.6,1,0,0,0.5,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0816326530612245,1,0.0909090909090909,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.428571428571429
"141",0,0,0,0.4,1,0.2,1,0.5,0,1,0,0.25,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0612244897959184,1,0.181818181818182,0.333333333333333,1,1,1,0.142857142857143,1,1,1,1,1,1,0.142857142857143
"142",0,0,0,0.8,0,0.6,0,0.5,1,0.428571428571429,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,0.125,0.0510204081632653,0.846153846153846,0.363636363636364,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,1
"149",0,0,0,0.8,1,0,0,0.5,1,0.857142857142857,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0408163265306122,0.153846153846154,0,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"150",0,0,0,0.4,1,0,0,0.5,0,0.214285714285714,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,1,0.181818181818182,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"152",0,0,0,0,1,1,0.6,1,1,0.714285714285714,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0612244897959184,0.0769230769230769,1,1,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"154",0,0,1,0.4,0,0,0,0.5,0,0.285714285714286,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0408163265306122,1,0.363636363636364,0.333333333333333,0.285714285714286,1,1,1,1,1,1,1,1,1,1
"156",0,0,1,0.4,0,1,0,0.5,0,0.285714285714286,1,0.25,0.125,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,1,1,1,1,1,1,1,0.428571428571429,1,1,1,1,1
"158",0,0,0,0.8,1,0,0,0.5,1,0.857142857142857,0,0.25,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,0.153846153846154,0.0909090909090909,0.333333333333333,1,1,1,1,0.285714285714286,1,1,1,1,1,0.142857142857143
"159",0,0,0,0.6,0,0,1,0.5,0,0.428571428571429,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0204081632653061,1,0.272727272727273,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"161",0,0,1,0.8,1,1,0,0.5,0,0.214285714285714,1,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,1,1,1,1,1,1,1,1,1,1,1,1,0.142857142857143
"163",0,0,1,1,0,0.8,0,0.5,1,0.785714285714286,0,0,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0612244897959184,0,0,0.333333333333333,0.142857142857143,1,1,0.142857142857143,1,1,1,1,1,1,0.142857142857143
"164",0,0,0,0.2,1,1,1,0.5,0,0.142857142857143,1,0.25,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"167",0,0,0,0.8,1,1,0,0.5,1,1,1,0.25,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0408163265306122,0.923076923076923,1,1,1,1,0.142857142857143,1,1,1,1,1,1,1,0.142857142857143
"168",0,0,0,0.6,1,0,0,0.5,0,1,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0408163265306122,1,0.181818181818182,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,1
"169",0,0,1,0.2,1,0.4,0,0.5,0,0.428571428571429,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,0.181818181818182,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"173",0,0,1,1,1,1,0,0.5,1,0.857142857142857,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,0.125,0.0510204081632653,0.153846153846154,0,0.333333333333333,0.285714285714286,1,1,1,1,1,1,1,1,1,1
"176",0,0,0,0,1,1,0,1,1,0.714285714285714,1,0.25,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0204081632653061,0.0769230769230769,1,1,1,1,1,0.142857142857143,1,1,1,1,1,1,0.142857142857143
"180",0,0,1,0.4,1,1,0,0.5,0,0.785714285714286,1,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,0.125,0.0306122448979592,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"182",0,0,1,0.6,1,0.4,0,0.5,0,0.428571428571429,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0102040816326531,1,0.0909090909090909,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"184",0,0,1,0.4,1,0,0,0.5,0,0.214285714285714,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0102040816326531,1,0.272727272727273,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"193",0,0,1,0.4,1,0.4,0,0.5,0,0.428571428571429,0,0.25,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0,0.125,0,1,0.181818181818182,0,1,1,1,1,0.285714285714286,1,1,1,1,1,0.142857142857143
"203",0,0,1,0.8,1,0,0,0.5,1,0.785714285714286,0,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0102040816326531,0,0.0909090909090909,0.333333333333333,1,1,1,1,1,1,1,1,1,1,0.571428571428571
"204",0,0,1,1,1,1,0,0.5,0,0.642857142857143,1,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,0.125,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"210",0,0,0,1,1,0,0,0.5,0,0.214285714285714,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0204081632653061,1,0.0909090909090909,0,0.142857142857143,1,1,1,1,1,1,1,1,1,0.285714285714286
"213",0,0,0,0.6,1,0,0,0.5,0,0.428571428571429,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,0.181818181818182,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"214",0,0,0,0,1,1,0,0.5,0,0.428571428571429,1,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0102040816326531,1,1,1,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"215",0,0,0,0.8,1,0.4,0,0.5,0,0.357142857142857,0,0.125,0.125,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,0,0.125,0.0102040816326531,1,0,1,0.142857142857143,1,1,1,1,0.142857142857143,1,1,1,1,0.142857142857143
"216",0,0,1,0.6,1,0,0,0.5,0,1,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0102040816326531,1,0.363636363636364,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"219",0,0,0,0.4,1,0,0,0.5,0,0.285714285714286,0,0.125,0,0.125,0,0,0,0,0,0.125,0.125,0,0.125,0.0306122448979592,1,0.272727272727273,1,0,0.285714285714286,1,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,0.285714285714286,1,1,0
"221",0,0,1,0.4,0,0,0,0.5,1,0.785714285714286,0,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,0,0.363636363636364,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"222",0,0,0,0.4,1,0.4,1,0.5,0,0.285714285714286,0,0.25,0,0.125,0,0,0,0.125,0,0.125,0.125,0,0.125,0.0102040816326531,1,0,1,1,0.142857142857143,1,1,0,0.285714285714286,1,0.142857142857143,1,1,0.142857142857143
"227",0,0,0,1,1,0.8,0,0.5,1,0.857142857142857,0,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,0.153846153846154,0,1,1,1,1,1,1,1,1,1,1,1,0.285714285714286
"229",0,0,1,0,1,1,0,1,0,0.714285714285714,1,0,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,1,1,1,0,1,1,0.142857142857143,1,1,1,1,1,1,0
"231",0,0,1,0.2,1,1,1,0.5,0,0,1,0.25,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,1,1,1,1,1,1,0.142857142857143,1,1,1,1,1,1,0.142857142857143
"239",0,0,1,0.8,1,0,0,0.5,1,0.785714285714286,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,0,0.0909090909090909,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.285714285714286
"241",0,0,0,0.4,1,0,0,0.5,0,0.285714285714286,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,1,0.363636363636364,0.333333333333333,0.285714285714286,1,1,1,1,1,1,1,1,1,0.142857142857143
"243",0,0,1,0.8,1,0,0,0.5,0,0.214285714285714,0,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,0.125,0.0510204081632653,1,0.0909090909090909,0.333333333333333,1,1,1,1,1,1,1,1,1,1,1
"246",0,0,0,0.4,1,0,0,0.5,0,0.214285714285714,0,0,0,0,0,0,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,1,0.0909090909090909,0.333333333333333,0.142857142857143,0,1,1,1,1,1,1,1,1,0.142857142857143
"247",0,0,0,0,1,1,0,0.5,0,1,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,1,1,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"248",0,0,0,0.6,1,0,0,0.5,0,0.285714285714286,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,1,0.181818181818182,0.333333333333333,0.285714285714286,1,1,1,1,1,1,1,1,1,0.285714285714286
"251",0,0,0,0.4,1,0,0,0.5,0,1,0,0.25,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,1,0.181818181818182,0.333333333333333,1,1,1,0.285714285714286,1,1,1,1,1,1,0.142857142857143
"252",0,0,0,0.4,1,0.2,0,0.5,0,1,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,1,1,1,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"253",0,0,1,0.2,1,1,1,0.5,0,1,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,0.125,0.0612244897959184,1,1,1,0.142857142857143,1,1,1,1,1,1,1,1,1,1
"259",0,0,0,0.2,1,1,0,0.5,0,0.214285714285714,1,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,1,1,1,1,1,1,1,1,1,1,1,1,1,0.142857142857143
"260",0,0,0,0.8,1,0,0,1,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0816326530612245,1,0.272727272727273,0.333333333333333,0.285714285714286,1,1,1,1,1,1,1,1,1,1
"265",0,0,1,0.2,1,0,0,0.5,1,0.785714285714286,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,0.461538461538462,1,1,0.285714285714286,1,1,1,1,1,1,1,1,1,0.142857142857143
"267",0,0,0,0.2,1,0.2,0,1,0,0.0714285714285714,0,0.25,0,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0612244897959184,1,0.0909090909090909,0.333333333333333,1,1,1,0.142857142857143,1,1,1,1,1,1,0.142857142857143
"272",0,0,1,0.4,0,1,0,0.5,0,0.357142857142857,0,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,0.0909090909090909,1,1,1,1,1,1,1,1,1,1,1,0.142857142857143
"273",0,0,1,1,0,0.6,0,0.5,1,0.785714285714286,0,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,0,0.0909090909090909,0.333333333333333,1,1,1,1,1,1,1,1,1,1,0.428571428571429
"286",0,0,0,0,1,1,0,0.5,1,0.428571428571429,1,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,0.923076923076923,1,1,0.142857142857143,1,1,0.142857142857143,1,1,1,1,1,1,0.142857142857143
"287",0,0,0,0.2,0,0,0,1,0,0.285714285714286,1,0.25,0,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0612244897959184,1,1,1,1,0.285714285714286,1,0.285714285714286,1,1,1,1,1,1,0.142857142857143
"288",0,0,0,0.2,1,0.2,0,0.5,0,0.428571428571429,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,0.181818181818182,1,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"290",0,0,1,0.4,1,0,0,0.5,0,0.428571428571429,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,1,0.181818181818182,0.333333333333333,0.285714285714286,1,1,1,1,1,1,1,1,1,0.142857142857143
"293",0,0,1,0.2,1,1,0,0.5,1,0.785714285714286,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,0.461538461538462,1,1,0.142857142857143,1,1,1,1,1,1,1,1,1,1
"296",0,0,1,0.6,1,0,0,0.5,0,0.785714285714286,0,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,0.181818181818182,0.333333333333333,1,0.285714285714286,1,1,1,1,1,1,1,1,1
